taille,poids,vole,pond_des_oeufs,classe
69.93,2.92,1,1,1
57.23,7.9,1,0,1
72.95,8.29,1,1,1
90.46,5.99,1,1,1
55.32,9.19,0,0,0
55.32,12.02,0,0,0
91.58,19.43,1,0,1
75.35,10.87,1,0,1
50.61,11.29,1,0,1
70.85,9.63,1,1,1
50.73,0.41,0,0,0
50.69,9.87,0,0,0
64.84,10.3,1,1,1
21.73,22.32,1,0,1
25.5,9.04,1,1,1
48.75,11.51,1,0,1
39.74,9.83,1,0,1
66.28,4.16,0,1,1
41.84,15.71,0,1,1
31.75,13.76,0,1,1
89.31,13.96,0,1,1
55.48,5.45,0,1,1
61.35,17.01,0,0,0
31.51,2.99,0,0,0
49.11,12.93,0,1,1
62.22,20.95,0,1,1
36.98,5.05,0,1,1
67.51,7.17,0,0,0
47.99,10.5,1,0,1
54.17,7.48,0,1,1
47.97,2.25,0,0,0
97.05,10.34,0,1,1
59.73,4.69,1,1,1
38.85,12.37,0,0,0
76.45,5.4,1,1,1
35.58,17.75,0,1,1
64.18,6.08,0,0,0
20.81,8.39,0,1,1
33.44,14.07,0,1,1
63.94,3.85,1,1,1
74.77,11.14,1,0,1
63.43,16.54,1,1,1
57.69,1.96,0,0,0
53.98,10.92,0,0,0
30.43,11.3,1,1,1
45.6,13.91,0,0,0
50.79,3.82,0,0,0
81.14,3.4,0,1,1
66.87,12.61,0,1,1
24.74,11.48,1,1,1
66.48,11.25,1,1,1
52.3,11.73,1,0,1
46.46,6.6,0,0,0
72.23,11.16,0,0,0
80.62,11.47,0,1,1
78.63,6.43,0,1,1
43.22,19.33,0,1,1
53.82,12.37,1,1,1
66.63,4.04,1,0,1
79.51,13.28,0,0,0
50.42,5.13,1,0,1
56.29,13.94,1,1,1
37.87,15.79,0,0,0
36.08,5.9,1,1,1
76.25,14.82,0,0,0
87.12,12.06,0,0,0
58.56,14.11,0,0,0
80.07,19.48,1,1,1
67.23,8.77,0,1,1
47.1,6.23,0,0,0
67.23,5.55,0,0,0
90.76,5.92,0,1,1
59.28,9.61,1,0,1
91.29,11.71,1,1,1
7.61,11.38,0,1,1
76.44,14.14,0,0,0
61.74,10.07,0,0,0
54.02,17.27,0,1,1
61.84,8.68,0,0,0
20.25,23.6,0,0,0
55.61,13.13,0,1,1
67.14,5.71,1,1,1
89.56,4.65,1,1,1
49.63,12.41,0,1,1
43.83,8.88,0,0,0
49.96,13.57,1,0,1
78.31,12.37,0,1,1
66.58,9.64,1,1,1
49.4,5.77,1,0,1
70.27,2.43,0,1,1
61.94,7.77,0,0,0
79.37,14.28,1,0,1
45.96,11.07,0,0,0
53.45,3.77,0,0,0
52.16,10.87,1,0,1
30.73,11.93,0,0,0
65.92,5.58,0,0,0
65.22,10.77,1,1,1
60.1,10.29,0,1,1
55.31,4.29,0,1,1
